GIT_URLS,Status,Actual_URLS_AFTER_Analysis,Start_time,End_time
https://github.com/apache/abdera,Retired,,6/6/06,11/8/08
https://github.com/apache/accumulo,Graduated,,9/12/11,3/21/12
https://github.com/apache/ace,Retired,,4/24/09,12/21/11
https://github.com/apache/activemq,Graduated,,12/1/05,2/6/07
https://github.com/apache/airavata,Graduated,,5/5/11,9/19/12
https://github.com/apache/airflow,Graduated,,3/31/16,12/19/18
https://github.com/apache/allura,Graduated,,6/25/12,3/19/14
https://github.com/apache/ambari,Graduated,,8/30/11,11/20/13
https://github.com/apache/any23,Graduated,,10/1/11,8/28/12
https://github.com/apache/apisix,Graduated,,10/17/19,7/15/20
https://github.com/apache/aries,Graduated,,9/22/09,12/15/10
https://github.com/apache/asterixdb,Graduated,,2/28/15,4/20/16
https://github.com/apache/atlas,Graduated,,5/5/15,6/21/17
https://github.com/apache/aurora,Retired,,10/1/13,3/18/15
https://github.com/apache/beam,Graduated,,2/1/16,12/21/16
https://github.com/apache/bigtop,Graduated,,6/20/11,9/19/12
https://github.com/apache/bloodhound,Graduated,,12/23/11,3/20/13
https://github.com/apache/brooklyn,Graduated,,5/1/14,11/18/15
https://github.com/apache/buildr,Graduated,,11/1/07,2/23/09
https://github.com/apache/calcite,Graduated,,5/19/14,10/22/15
https://github.com/apache/carbondata,Graduated,,6/2/16,4/19/17
https://github.com/apache/cassandra,Graduated,,1/1/09,2/17/10
https://github.com/apache/cayenne,Graduated,,3/9/06,12/20/06
https://github.com/apache/celix,Graduated,,11/2/10,7/16/14
https://github.com/apache/chemistry,Graduated,,4/30/09,2/16/10
https://github.com/apache/chukwa,Retired,,7/14/10,9/27/13
https://github.com/apache/clerezza,Graduated,,11/27/09,2/20/13
https://github.com/apache/click,Retired,,7/21/08,11/18/09
https://github.com/apache/cloudstack,Graduated,,4/16/12,3/20/13
https://github.com/apache/cordova,Graduated,,10/15/11,10/17/12
https://github.com/apache/couchdb,Graduated,,2/12/08,11/19/08
https://github.com/apache/crunch,Retired,,5/26/12,2/20/13
https://github.com/apache/ctakes,Graduated,,6/11/12,3/20/13
https://github.com/apache/curator,Graduated,,3/11/13,9/1/13
https://github.com/apache/cxf,Graduated,,8/15/06,4/16/08
https://github.com/apache/daffodil,Graduated,,8/27/17,2/17/21
https://github.com/apache/datafu,Graduated,,1/5/14,2/21/18
https://github.com/apache/datasketches,Graduated,,3/30/19,12/16/20
https://github.com/apache/deltacloud,Retired,,5/19/10,10/26/11
https://github.com/apache/deltaspike,Graduated,,12/7/11,5/28/13
https://github.com/apache/derby,Graduated,,8/15/04,7/18/05
https://github.com/apache/directmemory,Retired,,10/5/11,8/15/12
https://github.com/apache/distributedlog,Graduated,,6/24/16,7/1/17
https://github.com/apache/dolphinscheduler,Graduated,,12/31/20,3/17/21
https://github.com/apache/drill,Graduated,,8/11/12,11/19/14
https://github.com/apache/druid,Graduated,,2/28/18,12/18/19
https://github.com/apache/dubbo,Graduated,,2/16/18,5/15/19
https://github.com/apache/eagle,Retired,,12/16/20,12/21/16
https://github.com/apache/echarts,Graduated,,1/16/18,12/16/20
https://github.com/apache/empire-db,Graduated,,7/8/08,1/24/12
https://github.com/apache/esme,Retired,,12/2/08,12/15/10
https://github.com/apache/etch,Retired,,9/2/08,1/16/13
https://github.com/apache/falcon,Retired,,3/27/13,12/17/14
https://github.com/apache/felix,Graduated,,7/19/05,4/1/07
https://github.com/apache/fineract,Graduated,,12/15/15,4/19/17
https://github.com/apache/flink,Graduated,,4/14/14,12/17/14
https://github.com/apache/flume,Graduated,,6/13/11,6/20/12
https://github.com/apache/fluo,Graduated,,5/17/16,7/19/17
https://github.com/apache/freemarker,Graduated,,7/1/15,3/21/18
https://github.com/apache/ftpserver,No_info,,3/29/03,12/18/07
https://github.com/apache/geode,Graduated,,4/27/15,11/16/16
https://github.com/apache/geronimo,Graduated,,8/6/03,5/26/04
https://github.com/apache/giraph,Graduated,,8/1/11,5/16/12
https://github.com/apache/gobblin,Graduated,,2/23/17,1/20/21
https://github.com/apache/gora,Graduated,,9/26/10,1/15/12
https://github.com/apache/griffin,Graduated,,12/5/16,11/21/18
https://github.com/apache/groovy,Graduated,,3/17/15,11/18/15
https://github.com/apache/hama,Retired,,5/20/08,5/16/12
https://github.com/apache/harmony,Retired,,5/18/05,10/29/06
https://github.com/apache/hawq,Graduated,,9/4/15,8/15/18
https://github.com/apache/hcatalog,Graduated,,3/14/11,2/13/13
https://github.com/apache/helix,Graduated,,10/14/12,12/18/13
https://github.com/apache/hudi,Graduated,,1/17/19,5/20/20
https://github.com/apache/iceberg,Graduated,,11/16/18,5/20/20
https://github.com/apache/ignite,Graduated,,10/1/14,9/18/15
https://github.com/apache/impala,Graduated,,12/3/15,11/15/17
https://github.com/apache/iotdb,Graduated,,11/18/18,9/18/20
https://github.com/apache/isis,Graduated,,9/7/10,10/17/12
https://github.com/apache/jackrabbit,Graduated,,8/28/04,3/15/06
https://github.com/apache/jclouds,Graduated,,4/29/13,10/16/13
https://github.com/apache/jena,Graduated,,11/23/10,4/18/12
https://github.com/apache/johnzon,Graduated,,6/9/14,4/20/16
https://github.com/apache/joshua,Graduated,,2/13/16,10/17/18
https://github.com/apache/jspwiki,Graduated,,9/17/07,7/19/13
https://github.com/apache/juddi,Graduated,,9/15/03,3/17/04
https://github.com/apache/juneau,Graduated,,6/24/16,10/18/17
https://github.com/apache/kafka,Graduated,,7/4/11,10/23/12
https://github.com/apache/knox,Graduated,,2/22/13,2/19/14
https://github.com/apache/kudu,Graduated,,12/3/15,7/20/16
https://github.com/apache/kylin,Graduated,,11/25/14,11/18/15
https://github.com/apache/lens,Retired,,10/10/14,8/19/15
https://github.com/apache/lenya,Retired,,3/15/03,8/18/04
https://github.com/apache/libcloud,Graduated,,11/1/09,5/19/11
https://github.com/apache/log4cxx,Graduated,,1/31/04,1/11/05
https://github.com/apache/lucene.net,Graduated,,2/5/11,8/15/12
https://github.com/apache/lucy,Retired,,7/22/10,2/22/12
https://github.com/apache/madlib,Graduated,,9/15/15,7/19/17
https://github.com/apache/manifoldcf,Graduated,,1/10/10,5/16/12
https://github.com/apache/marmotta,Retired,,12/3/12,11/20/13
https://github.com/apache/mesos,Graduated,,12/23/10,6/19/13
https://github.com/apache/metamodel,Retired,,6/12/13,11/20/14
https://github.com/apache/metron,Retired,,12/6/15,4/19/17
https://github.com/apache/mnemonic,Graduated,,3/3/16,11/15/17
https://github.com/apache/mrunit,Retired,,3/8/11,5/16/12
https://github.com/apache/myfaces,Graduated,,7/16/04,3/9/05
https://github.com/apache/netbeans,Graduated,,10/1/16,4/17/19
https://github.com/apache/nifi,Graduated,,11/24/14,7/15/15
https://github.com/apache/nutch,Graduated,,1/15/05,6/1/05
https://github.com/apache/nuvem,Graduated,,6/24/10,11/29/12
https://github.com/apache/ode,Retired,,2/17/06,7/18/07
https://github.com/apache/ofbiz,Graduated,,1/31/06,12/20/06
https://github.com/apache/onami,Retired,,11/14/12,4/17/13
https://github.com/apache/oodt,Graduated,,1/21/10,11/17/10
https://github.com/apache/oozie,Graduated,,7/11/11,8/28/12
https://github.com/apache/openejb,Graduated,,7/5/06,5/16/07
https://github.com/apache/openjpa,Graduated,,4/10/06,5/16/07
https://github.com/apache/openmeetings,Graduated,,11/12/11,1/18/13
https://github.com/apache/opennlp,Graduated,,11/23/10,2/15/12
https://github.com/apache/openwebbeans,Graduated,,10/26/08,12/17/09
https://github.com/apache/openwhisk,Graduated,,11/23/16,7/17/19
https://github.com/apache/pdfbox,Graduated,,2/7/08,10/21/09
https://github.com/apache/phoenix,Graduated,,12/11/13,5/21/14
https://github.com/apache/pig,Graduated,,10/2/07,10/22/08
https://github.com/apache/pinot,Graduated,,10/21/18,7/21/21
https://github.com/apache/pivot,Graduated,,1/26/09,12/16/09
https://github.com/apache/plc4x,Graduated,,12/18/17,4/17/19
https://github.com/apache/pluto,Graduated,,9/30/03,5/15/04
https://github.com/apache/predictionio,Retired,,5/26/16,10/18/17
https://github.com/apache/pulsar,Graduated,,6/1/17,9/19/18
https://github.com/apache/qpid,Graduated,,8/27/06,12/18/08
https://github.com/apache/ranger,Graduated,,7/24/14,1/18/17
https://github.com/apache/ratis,Graduated,,1/6/08,4/18/12
https://github.com/apache/rave,Retired,,3/1/11,3/21/12
https://github.com/apache/reef,Graduated,,8/12/14,11/18/15
https://github.com/apache/rocketmq,Graduated,,11/21/16,9/20/17
https://github.com/apache/roller,Graduated,,6/20/05,2/21/07
https://github.com/apache/rya,Graduated,,9/18/19,9/18/19
https://github.com/apache/samza,Graduated,,7/30/13,1/21/15
https://github.com/apache/sanselan,No_info,,9/9/07,6/30/09
https://github.com/apache/sentry,Retired,,8/8/13,3/16/16
https://github.com/apache/servicemix,Graduated,,12/1/05,9/19/07
https://github.com/apache/shardingsphere,Graduated,,1/13/20,4/16/20
https://github.com/apache/shindig,Retired,,12/3/07,1/21/10
https://github.com/apache/shiro,Graduated,,5/20/08,9/22/10
https://github.com/apache/singa,Graduated,,3/17/15,10/16/19
https://github.com/apache/sis,Graduated,,2/21/10,9/19/12
https://github.com/apache/skywalking,Graduated,,12/8/17,4/17/19
https://github.com/apache/sling,Graduated,,9/9/07,6/17/09
https://github.com/apache/solr,Graduated,,1/17/06,1/17/07
https://github.com/apache/spamassassin,Graduated,,12/20/03,6/23/04
https://github.com/apache/spark,Graduated,,6/19/13,2/19/14
https://github.com/apache/sqoop,Retired,,6/13/11,3/21/12
https://github.com/apache/stanbol,Retired,,11/15/10,9/19/12
https://github.com/apache/stdcxx,Retired,,5/19/05,11/14/07
https://github.com/apache/storm,Graduated,,9/18/13,9/17/14
https://github.com/apache/stratos,Retired,,6/20/13,5/21/14
https://github.com/apache/streams,Graduated,,11/20/12,7/19/17
https://github.com/apache/subversion,Graduated,,11/7/09,2/17/10
https://github.com/apache/superset,Graduated,,5/21/17,11/19/20
https://github.com/apache/synapse,Graduated,,8/22/05,1/2/07
https://github.com/apache/syncope,Graduated,,2/10/12,11/21/12
https://github.com/apache/systemml,Graduated,,11/2/15,5/18/17
https://github.com/apache/tajo,Retired,,3/7/13,4/1/14
https://github.com/apache/tez,Graduated,,2/24/13,7/16/14
https://github.com/apache/thrift,Graduated,,4/18/08,10/20/10
https://github.com/apache/tika,Graduated,,3/22/07,10/28/08
https://github.com/apache/tinkerpop,Graduated,,1/16/15,5/23/16
https://github.com/apache/trafodion,Graduated,,5/24/15,12/20/17
https://github.com/apache/tvm,Graduated,,,11/18/20
https://github.com/apache/twill,Retired,,11/14/13,6/15/16
https://github.com/apache/unomi,Graduated,,10/5/15,2/20/19
https://github.com/apache/usergrid,Graduated,,10/3/13,8/19/15
https://github.com/apache/vcl,Graduated,,10/6/08,6/20/12
https://github.com/apache/vxquery,Retired,,7/6/09,7/16/14
https://github.com/apache/whirr,Retired,,5/11/10,8/17/11
https://github.com/apache/wicket,Graduated,,8/28/06,6/20/07
https://github.com/apache/wink,Retired,,5/27/09,12/19/12
https://github.com/apache/wookie,Retired,,7/17/09,11/22/12
https://github.com/apache/xmlbeans,Graduated,,7/30/03,6/23/04
https://github.com/apache/zeppelin,Graduated,,12/23/14,5/18/16
https://github.com/apache/amber,Retired,,5/9/10,1/16/13
https://github.com/apache/apex,Retired,,8/17/15,4/20/16
https://github.com/apache/apollo,No_info,,11/8/04,6/3/05
https://github.com/apache/batchee,Graduated,https://github.com/apache/geronimo,10/3/13,12/10/19
https://github.com/apache/bean validation,Graduated,https://github.com/apache/bval,3/1/10,2/15/12
https://github.com/apache/beehive,Retired,,5/21/04,7/18/05
https://github.com/apache/commonsrdf,Graduated,https://github.com/apache/commons-rdf,3/6/15,11/28/16
https://github.com/apache/devicemap,Retired,,1/3/12,11/19/14
https://github.com/apache/directory,Graduated,https://github.com/apache/directory-server,10/23/03,2/23/05
https://github.com/apache/easyant,Graduated,https://github.com/apache/ant-easyant-core,1/31/11,3/12/13
https://github.com/apache/flex,Graduated,https://github.com/apache/flex-sdk,12/30/11,12/19/12
https://github.com/apache/guacamole,Graduated,https://github.com/apache/guacamole-server,2/10/16,11/15/17
https://github.com/apache/hermes,No_info,,11/8/04,6/3/05
https://github.com/apache/httpd-cli,Graduated,https://github.com/apache/httpd,7/15/04,12/16/04
https://github.com/apache/ibatis,Retired,,8/16/04,4/27/05
https://github.com/apache/ivy,Graduated,https://github.com/apache/ant-ivy,10/23/06,10/11/07
https://github.com/apache/jaxme,No_info,,9/15/03,3/17/04
https://github.com/apache/jdo,Graduated,https://github.com/apache/db-jdo,5/18/05,12/9/05
https://github.com/apache/log4cxx2,Graduated,https://github.com/apache/logging-log4cxx,12/9/13,3/16/17
https://github.com/apache/log4net,Graduated,https://github.com/apache/logging-log4net,1/15/04,2/21/07
https://github.com/apache/log4php,Graduated,https://github.com/apache/logging-log4php,1/31/04,3/7/10
https://github.com/apache/merlindeveloper,No_info,,1/15/04,1/15/04
https://github.com/apache/mod_ftp,No_info,,8/6/05,2/21/07
https://github.com/apache/muse,No_info,,11/8/04,6/3/05
https://github.com/apache/mynewt,Graduated,https://github.com/apache/mynewt-core,10/20/15,6/21/17
https://github.com/apache/ognl,Graduated,https://github.com/apache/commons-ognl,4/26/11,8/30/11
https://github.com/apache/olingo,Graduated,https://github.com/apache/olingo-odata4,7/8/13,3/19/14
https://github.com/apache/omid,Graduated,https://github.com/apache/phoenix-omid,3/28/16,11/15/19
https://github.com/apache/open climate workbench,Retired,,2/15/13,2/19/14
https://github.com/apache/openoffice.org,Graduated,https://github.com/apache/openoffice,6/13/11,10/17/12
https://github.com/apache/parquet,Graduated,https://github.com/apache/parquet-mr,5/20/14,4/22/15
https://github.com/apache/rat,Graduated,https://github.com/apache/creadur-rat,1/6/08,4/18/12
https://github.com/apache/river,Graduated,https://github.com/apache/river-container,12/26/06,1/19/11
https://github.com/apache/servicecomb,Confusion,,11/22/17,10/17/18
https://github.com/apache/tapestry,Graduated,https://github.com/apache/tapestry-5,4/1/03,5/29/03
https://github.com/apache/tephra,Graduated,https://github.com/apache/phoenix-tephra,3/7/16,11/15/19
https://github.com/apache/tobago,Graduated,https://github.com/apache/myfaces-tobago,10/27/05,3/23/06
https://github.com/apache/traffic control,Graduated,https://github.com/apache/trafficcontrol,7/12/16,5/16/18
https://github.com/apache/traffic server,Graduated,https://github.com/apache/trafficserver,7/13/09,4/21/10
https://github.com/apache/trinidad,Graduated,https://github.com/apache/myfaces-trinidad,3/8/06,4/22/07
https://github.com/apache/tuscany,Retired,,12/7/05,5/21/08
https://github.com/apache/uima,Graduated,https://github.com/apache/uima-uimaj,10/23/06,3/18/10
https://github.com/apache/webwork 2,Graduated,https://github.com/apache/struts,1/15/06,5/24/06
https://github.com/apache/woden,Empty_Repo,https://github.com/apache/ws-woden,3/24/05,12/8/07